State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NC;37093;Hoke;46,952;1,012.022;4.020;1,016.042;+35.017233°;–79.241964°
NC;37095;Hyde;5,810;1,586.885;2,101.324;3,688.209;+35.408157°;–76.153687°
NC;37097;Iredell;159,437;1,486.221;59.749;1,545.971;+35.806356°;–80.874545°
NC;37099;Jackson;40,271;1,271.049;9.816;1,280.865;+35.286463°;–83.130641°
NC;37101;Johnston;168,878;2,049.455;10.891;2,060.346;+35.513405°;–78.367267°
NC;37103;Jones;10,153;1,219.129;6.494;1,225.622;+35.032160°;–77.356443°
NC;37105;Lee;57,866;660.342;10.577;670.918;+35.476075°;–79.172220°
NC;37107;Lenoir;59,495;1,037.527;5.768;1,043.296;+35.238062°;–77.639023°
NC;37109;Lincoln;78,265;771.656;23.577;795.233;+35.487825°;–81.225176°
NC;37111;McDowell;44,996;1,141.169;13.957;1,155.126;+35.682232°;–82.048029°
NC;37113;Macon;33,922;1,335.290;10.694;1,345.985;+35.152959°;–83.421901°
NC;37115;Madison;20,764;1,164.380;4.837;1,169.216;+35.864080°;–82.712731°
NC;37117;Martin;24,505;1,194.547;0.754;1,195.302;+35.841059°;–77.112867°
NC;37119;Mecklenburg;919,628;1,356.746;57.153;1,413.899;+35.246862°;–80.833832°
NC;37121;Mitchell;15,579;573.488;1.714;575.202;+36.013102°;–82.163554°
NC;37123;Montgomery;27,798;1,273.652;25.989;1,299.641;+35.338071°;–79.904196°
